age,education,sex_0,sex_1,hours_per_week,USA_born,label_0,label_1,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay,education_encoded,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White
39.0,Bachelors,0,1,40.0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
50.0,Bachelors,0,1,13.0,1.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
38.0,High-school,0,1,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
53.0,Some-high-school,0,1,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
28.0,Bachelors,1,0,40.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0
37.0,Masters,1,0,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0
49.0,Some-high-school,1,0,16.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
52.0,High-school,0,1,45.0,1.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
31.0,Masters,1,0,50.0,1.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0
42.0,Bachelors,0,1,40.0,1.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
37.0,Some-college,0,1,80.0,1.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0
30.0,Bachelors,0,1,40.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
23.0,Bachelors,1,0,30.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
34.0,Middle-school,0,1,45.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
25.0,High-school,0,1,35.0,1.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
32.0,High-school,0,1,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
38.0,Some-high-school,0,1,50.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
43.0,Masters,1,0,45.0,1.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0
40.0,Doctorate,0,1,60.0,1.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0
54.0,High-school,1,0,20.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
35.0,Some-high-school,0,1,40.0,1.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
43.0,Some-high-school,0,1,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
59.0,High-school,1,0,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
56.0,Bachelors,0,1,40.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
19.0,High-school,0,1,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
39.0,High-school,0,1,80.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
49.0,High-school,0,1,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
20.0,Some-college,0,1,44.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0
45.0,Bachelors,0,1,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
30.0,Some-college,0,1,40.0,1.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0
22.0,Some-college,0,1,15.0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0
48.0,Some-high-school,0,1,40.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
21.0,Some-college,0,1,40.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0
19.0,High-school,1,0,25.0,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
